Source:,/home/martin/Proyectos/kicad/trololo/trololo/trololo.sch,,,,,,,,,,,,,,,
Date:,mié 08 may 2019 14:37:29 -03,,,,,,,,,,,,,,,
Tool:,Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1,,,,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,
Component Count:,103,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status,manf#
,,C1,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C2,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C3,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C4,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C5,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,LMK212B7475MG-T
,,C6,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C7,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C8,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C9,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C10,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C11,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C12,18p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,CL21C180JBANNNC
,,C13,18p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,CL21C180JBANNNC
,,C14,10p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012007010
,,C15,10p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012007010
,,C16,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C17,2.2u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,CL31B225KOHNNNE
,,C18,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,LMK212B7475MG-T
,,C19,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,LMK212B7475MG-T
,,C20,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C21,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C22,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C23,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C24,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C25,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C26,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C27,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C28,0.1u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,885012207098
,,C29,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,CL21A106MQFNNNE
